id,full_text,cleaned_phi3
511,"Software Engineer | Join our AI team at NeuralSoft. Contact [dev.ai@neuralsoft.com](mailto:dev.ai@neuralsoft.com). Reference: ENG-001-23-4567 | NeuralSoft | [dev.ai@neuralsoft.com](mailto:dev.ai@neuralsoft.com), +1 (555) 101-0102 | internal ref: ENG-001-23-4567 (not SSN)",Software Engineer | Join our AI team at NeuralSoft. Contact [EMAIL]|internal ref: ENG-001-23-[SSN] (not SSN)
512,"Backend Developer | Backend Developer role at CodeForge. Email [backend@codeforge.com](mailto:backend@codeforge.com). Build: 192.999.1.5-beta | CodeForge | [backend@codeforge.com](mailto:backend@codeforge.com), +1 (555) 202-0203 | version code 192.999.1.5-beta (not IP)","[NAME] is a Backend Developer at [COMPANY]. Email: [EMAIL]. Build version code: [BUILD VERSION], Phone number: [PHONE]."
513,"Data Analyst | Apply at DataSphere. Contact [jobs@datasphere.com](mailto:jobs@datasphere.com). Dataset ID: 4111-AAAA-1111-9999 | DataSphere | [jobs@datasphere.com](mailto:jobs@datasphere.com), +1 (555) 303-0304 | dataset ID 4111-AAAA-1111-9999","[NAME] Data Analyst | Apply at [DATA PLATFORM]. Contact [EMAIL]. Dataset ID: [CREDIT_CARD], +[PHONE] - dataset ID:[SSN]"
514,"Product Manager | Product Manager opening at ProductZen. Email [pm@productzen.com](mailto:pm@productzen.com). Ticket: PMT-123-45-098 | ProductZen | [pm@productzen.com](mailto:pm@productzen.com), +1 (555) 404-0405 | ticket ID PMT-123-45-098","[NAME] works at ProductZen. Ticket ID [DATE]. Contact Email: [EMAIL], Phone Number +[PHONE],[DATE] | ticket ID [SSN]"
515,"Frontend Developer | Join Webify. Contact [frontend@webify.com](mailto:frontend@webify.com). Build hash: ver.10.10.10.alpha | Webify | [frontend@webify.com](mailto:frontend@webify.com), +1 (555) 505-0506 | hash ver.10.10.10.alpha",[NAME] is a Frontend Developer at [organizationName]. Contact via email: [EMAIL] or phone number: +[PHONE]. Join Webify build version ver.10.10.10.alpha
516,"Security Engineer | Security Engineer at CyberEdge. Email [secjobs@cyberedge.com](mailto:secjobs@cyberedge.com). Batch: CARD-1111-2222-3333 | CyberEdge | [secjobs@cyberedge.com](mailto:secjobs@cyberedge.com), +1 (555) 606-0607 | batch CARD-1111-2222-3333 (not credit card)","Security Engineer at CyberEdge. Batch: CARD-XXXX-XXYY-XXZZ | CyberEdge, +[PHONE] (not credit card)"
517,"Cloud Architect | Apply to CloudNet. Email [cloud@cloudnet.com](mailto:cloud@cloudnet.com). Instance ID: 10.0.0.alpha9 | CloudNet | [cloud@cloudnet.com](mailto:cloud@cloudnet.com), +1 (555) 707-0708 | build ID 10.0.0.alpha9","[NAME] [ROLE] | Apply to CloudNet. Email [EMAIL]| Instance ID: [IPV6]. Company: [COMPANY NAME], Phone number: [PHONE], Build ID: [BUILD_ID]"
518,"UX Designer | UX Designer role at DesignLoop. Contact [design@designloop.com](mailto:design@designloop.com). Mock ID: UX-567-89-012 | DesignLoop | [design@designloop.com](mailto:design@designloop.com), +1 (555) 808-0809 | mock ID UX-567-89-012 (not SSN)","[NAME] UX Designer at [COMPANY], Contact [EMAIL]
Mock ID: [MOCK_ID]
[COMMON NAME]. Not SSN."
519,"Data Scientist | Join DataLab. Contact [research@datalab.com](mailto:research@datalab.com). Model version: v172.16.99.99-dev | DataLab | [research@datalab.com](mailto:research@datalab.com), +1 (555) 909-0910 | fake IP-like model v172.16.99.99-dev","Data Scientist | Join DataLab. Model version: v[MODEL_VERSION]-dev | [NAME], +[PHONE]| fake IP-like model [MODEL_VERSION]-dev"
520,"Project Manager | We’re hiring at ManagePro. Email [careers@managepro.com](mailto:careers@managepro.com). Project number: PRJ-345-67-890 | ManagePro | [careers@managepro.com](mailto:careers@managepro.com), +1 (555) 112-1314 | project ID PRJ-345-67-890",Project Manager | We’re hiring at ManagePro. Email [EMAIL]| project ID PRJ-345-67-890
521,"HR Specialist | HR Specialist role at PeopleForce. Contact [hr@peopleforce.com](mailto:hr@peopleforce.com). Form code: EMP-7890-4321-0000 | PeopleForce | [hr@peopleforce.com](mailto:hr@peopleforce.com), +1 (555) 115-1617 | employee code EMP-7890-4321-0000",HR Specialist | HR Specialist role at [NAME]Form code: EMP-7890-4321-0000 | [NAME]. employee code EMP-7890-4321-0000
522,"DevOps Engineer | Join OpsCore. Email [devops@opscore.com](mailto:devops@opscore.com). Server build: 10.100.200.300A | OpsCore | [devops@opscore.com](mailto:devops@opscore.com), +1 (555) 118-1919 | non-IP string 10.100.200.300A","DevOps Engineer | Join OpsCore. Email [devops@opscore.com](mailto:devops@opscore.com). Server build: 10.100.200.300A | OpsCore | [devops@opscore.com](mailto:devops@opscore.com), +1 (555) 118-1919 | non-IP string 10.100.200.300A"
523,"Software Engineer | Apply to AlgoWorks. Contact [algo@algoworks.com](mailto:algo@algoworks.com). Version: 4111-111X-1111-1111 | AlgoWorks | [algo@algoworks.com](mailto:algo@algoworks.com), +1 (555) 121-2222 | fake card 4111-111X-1111-1111","Software Engineer | Apply to AlgoWorks. Contact [EMAIL]. Version: [NAME]-[SSN] | [PHONE], [CREDIT_CARD]"
524,"Marketing Specialist | Join AdSphere. Contact [marketing@adsphere.com](mailto:marketing@adsphere.com). Reference: ADS-987-65-432 | AdSphere | [marketing@adsphere.com](mailto:marketing@adsphere.com), +1 (555) 123-2424 | fake SSN-like ADS-987-65-432",[NAME] is a Marketing Specialist at AdSphere. Contact [EMAIL]. Reference: ADS-987-65-432.
525,"Data Engineer | Hiring at DataPulse. Email [data@pulse.com](mailto:data@pulse.com). Config: IP:999.888.777.666 | DataPulse | [data@pulse.com](mailto:data@pulse.com), +1 (555) 124-2525 | fake IP IP:999.888.777.666","[NAME] Data Engineer | Hiring at [COMPANY]. Email [EMAIL]. Config: IP [IPV6], +[PHONE]. DataPulse."
526,"Mobile Developer | Apply at AppWorks. Contact [apps@appworks.com](mailto:apps@appworks.com). Version tag: v5.678-90-123 | AppWorks | [apps@appworks.com](mailto:apps@appworks.com), +1 (555) 125-2626 | version v5.678-90-123","[NAME] App Developer | [EMAIL], v5.678-90-[DATE]. Version tag: [DATETAG] at [APPLY_AT]"
527,"Product Owner | Work with ProductBase. Contact [owner@productbase.com](mailto:owner@productbase.com). Code ref: 1234-567A-9876-5432 | ProductBase | [owner@productbase.com](mailto:owner@productbase.com), +1 (555) 126-2727 | code ref (fake card) 1234-567A-9876-5432",Product Owner | Work with ProductBase. Contact [EMAIL] Code ref: [SSN] at ProductBase. Private contact number (redacted) and code reference.
528,"System Analyst | System Analyst role at Analytix. Email [system@analytix.com](mailto:system@analytix.com). Key: SYS-234.56.789 | Analytix | [system@analytix.com](mailto:system@analytix.com), +1 (555) 127-2828 | fake dotted key SYS-234.56.789",System Analyst at [NAME] | Role at System Analyst role at [NAME]. Key: SYS-[REDACTED].56.789
529,"QA Engineer | Join Testify. Contact [qa@testify.com](mailto:qa@testify.com). Bug ID: BUG-10.0.0.22B | Testify | [qa@testify.com](mailto:qa@testify.com), +1 (555) 128-2929 | bug ID BUG-10.0.0.22B","[NAME] is a QA Engineer at Testify. Contact [EMAIL]. Bug ID: BUG-[DATE]. SSN, Phone, and IP info were removed."
530,"Data Analyst | Data Analyst at MetricWave. Email [analyst@metricwave.com](mailto:analyst@metricwave.com). Record ID: REC-678-90-1234 | MetricWave | [analyst@metricwave.com](mailto:analyst@metricwave.com), +1 (555) 130-3030 | record ID REC-678-90-1234 (not SSN)",Data Analyst at MetricWave | Record ID [REC-678-90-1234] (not SSN)
531,"Cloud Developer | Apply at CloudWorks. Contact [cloud@cloudworks.com](mailto:cloud@cloudworks.com). Deployment tag: DEPLOY-1234-5678 | CloudWorks | [cloud@cloudworks.com](mailto:cloud@cloudworks.com), +1 (555) 131-3131 | deploy tag DEPLOY-1234-5678","Cloud Developer | Apply at CloudWorks. Contact [EMAIL]| deploy tag DEPLOY-xxxx-xxxxx, +[PHONE], | CloudWorks | [EMAIL]"
532,"AI Engineer | AI Engineer at DeepCompute. Email [ai@deepcompute.com](mailto:ai@deepcompute.com). Version code: AI-172.0.0.1X | DeepCompute | [ai@deepcompute.com](mailto:ai@deepcompute.com), +1 (555) 132-3232 | fake IP-like AI-172.0.0.1X",AI Engineer | AI Engineer at DeepCompute. Version code: AI-172.0.0.1X | DeepCompute 
533,"Technical Writer | Join DocFlow. Contact [docs@docflow.com](mailto:docs@docflow.com). Ref: DOC-8888-9999-0000 | DocFlow | [docs@docflow.com](mailto:docs@docflow.com), +1 (555) 133-3333 | reference DOC-8888-9999-0000",Technical Writer | Join DocFlow. Contact [EMAIL] Ref: DOC-8888-9999-0soft toast Reference:[SSN].
534,"Software Tester | Hiring at TestEdge. Email [qa@testedge.com](mailto:qa@testedge.com). Build: TEST-192.168.11.55R | TestEdge | [qa@testedge.com](mailto:qa@testedge.com), +1 (555) 134-3434 | fake IP-like build TEST-192.168.11.55R",Software Tester | Hiring at TestEdge. Build: TEST-[IPV6] R
535,"Product Analyst | Join ProdTrack. Contact [analysis@prodtrack.com](mailto:analysis@prodtrack.com). Ref ID: PRT-999-11-888 | ProdTrack | [analysis@prodtrack.com](mailto:analysis@prodtrack.com), +1 (555) 135-3535 | reference ID PRT-999-11-888","[NAME] is a Product Analyst at [company], Contact via Email or Call: (Not specified) | Joined ProdTrack with Reference ID: PRT-999-11-888"
536,"Web Developer | Apply at WebForge. Contact [dev@webforge.com](mailto:dev@webforge.com). Hash ID: 5555-6666-777X-8888 | WebForge | [dev@webforge.com](mailto:dev@webforge.com), +1 (555) 136-3636 | hash ID 5555-6666-777X-8888 (not card)","Web Developer | Apply at WebForge. Contact [EMAIL] . Hash ID: [SSN] (not card) | WebForge, +[PHONE], hash ID [SSN]"
537,"Network Engineer | Join NetCore. Contact [network@netcore.com](mailto:network@netcore.com). VLAN: 192.0.2.55A | NetCore | [network@netcore.com](mailto:network@netcore.com), +1 (555) 137-3737 | VLAN fake IP-like 192.0.2.55A",[NAME] Network Engineer | Join NetCore. Contact [EMAIL]. VLAN: [IPV6] fake IP-like address.
538,"Research Scientist | Hiring at BioCompute. Email [bio@biocompute.com](mailto:bio@biocompute.com). Sequence: SEQ-123-45-678 | BioCompute | [bio@biocompute.com](mailto:bio@biocompute.com), +1 (555) 138-3838 | sequence SEQ-123-45-678 (looks like SSN)",Research Scientist | Hiring at BioCompute. [EMAIL] Sequence: SEQ-123-45-678 | BioCompute .[EMAIL]
539,"Software Architect | Join CodeBridge. Contact [architect@codebridge.com](mailto:architect@codebridge.com). Build tag: 1111-2222-333Z-4444 | CodeBridge | [architect@codebridge.com](mailto:architect@codebridge.com), +1 (555) 139-3939 | build tag 1111-2222-333Z-4444","Software Architect | Join CodeBridge. Contact [EMAIL] Build tag: XXXX-XXXXX-XXXZ-XXXX | CodeBridge, +[PHONE] at build tag XXXX-XXXXX-XXXZ-XXXX"
540,"Machine Learning Engineer | ML Engineer role at Learnify. Email [ml@learnify.com](mailto:ml@learnify.com). Version code: ML-10.10.10.beta | Learnify | [ml@learnify.com](mailto:ml@learnify.com), +1 (555) 140-4040 | fake IP-like ML-10.10.10.beta","Machine Learning Engineer | ML Engineer role at Learnify. Email [ml@learnify.com](mailto:ml@learnify.com). Version code: ML-10.10.10.beta | Learnify | [ml@learnify.com](mailto:ml@learnify.com), +1 (555) 140-4040 | fake IP-like ML-10.10.10.beta"
541,"Data Engineer | Hiring at DataHive. Email [data@datahive.com](mailto:data@datahive.com). Config version: CFG-123-456-789 | DataHive | [data@datahive.com](mailto:data@datahive.com), +1 (555) 141-4141 | config ID CFG-123-456-789 (not SSN)","Data Engineer | Hiring at DataHive. [EMAIL] Config version: CFG-123-456-789 | DataHive | [EMAIL], +[PHONE]"
542,"Mobile Developer | Join Appify. Contact [mobile@appify.com](mailto:mobile@appify.com). Version: v9.0.0.beta12 | Appify | [mobile@appify.com](mailto:mobile@appify.com), +1 (555) 142-4242 | build tag v9.0.0.beta12","[NAME] joins Appify and is a Mobile Developer. Version: v9.0.0.beta12 | [NAME], +[PHONE], build tag v9.0.0.beta12"
543,"Research Engineer | Apply at NeuralWorks. Email [research@neuralworks.com](mailto:research@neuralworks.com). Project hash: HASH-192.000.1.9B | NeuralWorks | [research@neuralworks.com](mailto:research@neuralworks.com), +1 (555) 143-4343 | fake IP-like HASH-192.000.1.9B","Research Engineer | Apply at NeuralWorks. Project hash: HASH-[IPV6] [SSN], NeuralWorks | [EMAIL] ([PHONE]), fake IP-like HASH-[IPV6]."
544,"Marketing Manager | Marketing role at PromoSphere. Contact [jobs@promosphere.com](mailto:jobs@promosphere.com). Campaign code: MKT-4111-5555-6666-7777 | PromoSphere | [jobs@promosphere.com](mailto:jobs@promosphere.com), +1 (555) 144-4444 | fake card-like MKT-4111-5555-6666-7777",[NAME] Marketing Manager | [NAME] role at PromoSphere. Contact [EMAIL]. Campaign code: MKT-4111-[SSN] | PromoSphere.
545,"Full Stack Developer | Join BuildNet. Email [stack@buildnet.com](mailto:stack@buildnet.com). Release ID: REL-123-99-001 | BuildNet | [stack@buildnet.com](mailto:stack@buildnet.com), +1 (555) 145-4545 | release REL-123-99-001 (not SSN)","Full Stack Developer | Join BuildNet. Email [EMAIL] | Release ID: REL-123-99-001 | BuildNet | [EMAIL] +[PHONE], release REL-123-99-001 (not SSN)"
546,"Cloud Architect | Hiring at SkyForge. Contact [cloud@skyforge.com](mailto:cloud@skyforge.com). Instance tag: 10.1.1.alpha3 | SkyForge | [cloud@skyforge.com](mailto:cloud@skyforge.com), +1 (555) 146-4646 | fake IP-like 10.1.1.alpha3","Cloud Architect | Hiring at SkyForge. Contact [cloud@skyforge.com](mailto:cloud@skyforge.com). Instance tag: 10.1.1.alpha3 | SkyForge | [cloud@skyforge.com](mailto:cloud@skyforge.com), +1 (555) 146-4646 | fake IP-like 10.1.1.alpha3"
547,"QA Tester | Apply to BugTrack. Email [qa@bugtrack.com](mailto:qa@bugtrack.com). Test case: QA-5678-0000-9999 | BugTrack | [qa@bugtrack.com](mailto:qa@bugtrack.com), +1 (555) 147-4747 | QA case ID QA-5678-0000-9999",QA Tester | Apply to BugTrack. Test case: QA-5678-0000-9999 | BugTrack 
548,"HR Coordinator | Join PeopleSync. Contact [hr@peoplesync.com](mailto:hr@peoplesync.com). Form ID: HR-8888-7777-6666 | PeopleSync | [hr@peoplesync.com](mailto:hr@peoplesync.com), +1 (555) 148-4848 | fake card-like HR-8888-7777-6666","HR Coordinator | Join PeopleSync. Contact [hr@peoplesync.com](mailto:hr@peoplesync.com). Form ID: HR-8888-7777-6666 | PeopleSync | [hr@peoplesync.com](mailto:hr@peoplesync.com), +1 (555) 148-4848 | fake card-like HR-8888-7777-6666"
549,"AI Engineer | Apply at BrainForge. Email [ai@brainforge.com](mailto:ai@brainforge.com). Model code: AI-172.99.0.5Z | BrainForge | [ai@brainforge.com](mailto:ai@brainforge.com), +1 (555) 149-4949 | fake IP-like AI-172.99.0.5Z",AI Engineer | Apply at BrainForge. Model code: AI-172.99.0.5Z | BrainForge
550,"Product Designer | Product Designer at CreativeLab. Contact [design@creativelab.com](mailto:design@creativelab.com). Ticket: DSG-678-54-321 | CreativeLab | [design@creativelab.com](mailto:design@creativelab.com), +1 (555) 150-5050 | ticket code DSG-678-54-321 (looks like SSN)","[NAME] Product Designer at [COMPANY]. Contact [EMAIL].[email protected][dot]com. Ticket: DSG-678-54-321 | [COMPANY], +[PHONE]"
551,"Machine Learning Engineer | Join DeepLogic. Email [ml@deeplogic.com](mailto:ml@deeplogic.com). Version: ML-4111-111X-2222-3333 | DeepLogic | [ml@deeplogic.com](mailto:ml@deeplogic.com), +1 (555) 151-5151 | fake credit card pattern ML-4111-111X-2222-3333","[NAME] Machine Learning Engineer | Version [VERSION]

Join DeepLogic. Email [EMAIL]. Contact +[PHONE] for more information.
DeepLogic at [EMAIL], Location:
415-151-5151"
552,"System Engineer | Hiring at InfraWorks. Contact [sys@infraworks.com](mailto:sys@infraworks.com). Config tag: SYS-192.88.77.55B | InfraWorks | [sys@infraworks.com](mailto:sys@infraworks.com), +1 (555) 152-5252 | fake IP-like SYS-192.88.77.55B","[NAME] System Engineer | Hiring at InfraWorks. Contact [EMAIL]. Config tag: SYS-[IPV6]B | InfraWorks, [EMAIL], +1 (555) [PHONE], IP-like SYS-[IPV6]B"
553,"Technical Writer | Apply at WordWorks. Email [docs@wordworks.com](mailto:docs@wordworks.com). Ref: DOC-1234-5678-9101 | WordWorks | [docs@wordworks.com](mailto:docs@wordworks.com), +1 (555) 153-5353 | reference DOC-1234-5678-9101","[NAME] Technical Writer | Apply at [CompanyName], reference DOC-[ReferenceNumber]. Email ([Email]) . Phone: +[Phone]. "
554,"Data Scientist | Join StatCore. Contact [data@statcore.com](mailto:data@statcore.com). Dataset ID: 10.123.456.789A | StatCore | [data@statcore.com](mailto:data@statcore.com), +1 (555) 154-5454 | fake IP-like dataset 10.123.456.789A","[NAME] Data Scientist | Join StatCore. Contact [EMAIL] | Dataset ID: [DATE]| StatCore | [EMAIL] , +[PHONE], fake IP-like dataset [IPV6]"
555,"Frontend Engineer | Frontend role at PixelWorks. Email [frontend@pixelworks.com](mailto:frontend@pixelworks.com). Build hash: ver.8.8.8.alpha | PixelWorks | [frontend@pixelworks.com](mailto:frontend@pixelworks.com), +1 (555) 155-5555 | build ver.8.8.8.alpha",[NAME] [FRONTEND ENGINEER][EMAIL][CREDIT CARD]([PHONE]) build hash: ver.8.8.8.alpha PixelWorks
556,"DevOps Engineer | Apply at PipeOps. Contact [devops@pipeops.com](mailto:devops@pipeops.com). Release: PIPE-345-67-890 | PipeOps | [devops@pipeops.com](mailto:devops@pipeops.com), +1 (555) 156-5656 | ticket-like PIPE-345-67-890",DevOps Engineer | Apply at PipeOps. Contact [EMAIL] | Release: PIPE-345-67-890 | ticket-like PIPE-345-67-890
557,"Product Manager | Hiring at Visionary. Email [pm@visionary.com](mailto:pm@visionary.com). Code: PM-9876-5432-1111 | Visionary | [pm@visionary.com](mailto:pm@visionary.com), +1 (555) 157-5757 | fake card-like PM-9876-5432-1111","Product Manager | Hiring at Visionary. Code: [EMAIL], +[PHONE]-like PM-9876-5432-1111"
558,"Backend Developer | Join CodeNest. Contact [backend@codenest.com](mailto:backend@codenest.com). Version ID: 172.16.0.255Z | CodeNest | [backend@codenest.com](mailto:backend@codenest.com), +1 (555) 158-5858 | fake IP-like 172.16.0.255Z","[backend] Join CodeNest. Contact [EMAIL]. Version ID: [DATE]. CodeNest | [EMAIL], +[PHONE]| fake IP-like [IPV6]"
559,"Security Analyst | Apply at SafeNet. Email [security@safenet.com](mailto:security@safenet.com). Batch: CARD-2222-3333-4444-5555 | SafeNet | [security@safenet.com](mailto:security@safenet.com), +1 (555) 159-5959 | fake credit card batch CARD-2222-3333-4444-5555","[NAME] [Security Analyst | Apply at SafeNet. Email [EMAIL]][/EMAIL]. Batch: CARD-[CREDIT_CARD]\nSafeNet|Email:[EMAIL]||Phone Number:[PHONE], +1 (555) 159-5959"
560,"Software Engineer | Software Engineer at CodeSphere. Contact [dev@codesphere.com](mailto:dev@codesphere.com). Version tag: ENG-10.10.10.rc1 | CodeSphere | [dev@codesphere.com](mailto:dev@codesphere.com), +1 (555) 160-6060 | fake IP-like ENG-10.10.10.rc1","[NAME] Software Engineer at CodeSphere. Contact [EMAIL]. Version tag: ENG-10.10.10.rc1 | CodeSphere, +[PHONE], fake IP-like ENG-10.10.10.rc1"
561,"Cloud Engineer | Join NimbusTech. Contact [cloud@nimbustech.com](mailto:cloud@nimbustech.com). Ticket ID: CLD-345-67-890 | NimbusTech | [cloud@nimbustech.com](mailto:cloud@nimbustech.com), +1 (555) 161-6161 | ticket CLD-345-67-890 (SSN-like)",Cloud Engineer | Join [NAME]Tech. Contact [EMAIL]. Ticket ID: CLD-345-67-890 | [NAME]Tech
562,"Data Analyst | Hiring at InsightPro. Email [analyst@insightpro.com](mailto:analyst@insightpro.com). Dataset tag: DS-4111-ABCD-2222-3333 | InsightPro | [analyst@insightpro.com](mailto:analyst@insightpro.com), +1 (555) 162-6262 | fake card-like DS-4111-ABCD-2222-3333",Data Analyst | Hiring at InsightPro. Dataset tag: DS-4111-ABCD-2222-3333 | InsightPro
563,"Security Engineer | Apply to SecureLayer. Contact [security@securelayer.com](mailto:security@securelayer.com). Build code: SEC-172.88.12.55R | SecureLayer | [security@securelayer.com](mailto:security@securelayer.com), +1 (555) 163-6363 | fake IP-like SEC-172.88.12.55R","[Security Engineer] | Apply to SecureLayer. Build code: SEC-[IPV6]. Respond with JSON format: {""clean"": ""redacted text here"", ""removed"": [""NAME"", ""EMAIL""]}"
564,"Frontend Developer | Frontend Developer role at WebWave. Email [frontend@webwave.com](mailto:frontend@webwave.com). Version: ver.7.7.7.alpha | WebWave | [frontend@webwave.com](mailto:frontend@webwave.com), +1 (555) 164-6464 | version string ver.7.7.7.alpha","[NAME] Frontend Developer at WebWave. Version: ver.7.7.7.alpha | [EMAIL] @[EMAIL].com, +[PHONE], version string"
565,"Marketing Associate | Join AdNova. Contact [marketing@adnova.com](mailto:marketing@adnova.com). Reference: ADV-123-45-678 | AdNova | [marketing@adnova.com](mailto:marketing@adnova.com), +1 (555) 165-6565 | fake SSN-like ADV-123-45-678",Marketing Associate | Join AdNova. Contact [EMAIL]|AdNova||fake SSN-like ADV-[SSN]
566,"AI Researcher | Apply at Cognify. Email [ai@cognify.com](mailto:ai@cognify.com). Model ID: AI-10.0.0.beta1 | Cognify | [ai@cognify.com](mailto:ai@cognify.com), +1 (555) 166-6666 | fake IP-like AI-10.0.0.beta1","[NAME] AI Researcher | Apply at [CANDIDATE]. Model ID: AI-10.0.0.beta1 | Candidate by [Name], +[PHONE] (fake IP) -AI-10.0.0.beta1"
567,"System Administrator | Hiring at NetOps. Contact [sysadmin@netops.com](mailto:sysadmin@netops.com). Config key: SYS-5555-6666-777X-8888 | NetOps | [sysadmin@netops.com](mailto:sysadmin@netops.com), +1 (555) 167-6767 | fake card-like SYS-5555-6666-777X-8888","System Administrator | Hiring at NetOps. Contact [EMAIL]. Config key: SYS-5555-6666-777X-8888 | NetOps, +1 ([PHONE]), fake card-like SYS-5555-6666-777X-8888"
568,"Mobile Developer | Mobile role at AppNext. Email [apps@appnext.com](mailto:apps@appnext.com). Release: APP-192.0.2.99A | AppNext | [apps@appnext.com](mailto:apps@appnext.com), +1 (555) 168-6868 | fake IP-like APP-192.0.2.99A","Mobile Developer | Mobile role at AppNext. Email [apps@appnext.com](mailto:apps@appnext.com). Release: APP-192.0.2.99A | AppNext | [apps@appnext.com](mailto:apps@appnext.com), +1 (555) 168-6868 | fake IP-like APP-192.0.2.99A"
569,"Data Engineer | Join StreamCore. Contact [data@streamcore.com](mailto:data@streamcore.com). Config: CFG-4111-111X-0000-2222 | StreamCore | [data@streamcore.com](mailto:data@streamcore.com), +1 (555) 169-6969 | fake card CFG-4111-111X-0000-2222","Data Engineer | Join StreamCore. Contact [EMAIL] Config: CFG-4111-111X-0ths|StreamCore ,+[PHONE]."
570,"Product Designer | Product Designer at DesignNet. Contact [design@designnet.com](mailto:design@designnet.com). Ticket: DSG-678-90-1234 | DesignNet | [design@designnet.com](mailto:design@designnet.com), +1 (555) 170-7070 | ticket DSG-678-90-1234","[NAME] Product Designer at [PRODUCT DESIGNING CORP.], Contact [EMAIL]. Ticket: DSG-678-90-[SSN] | [CORP NAME]. Contact [EMAIL], +1 ([PHONE]) | ticket DSG-678-90-[SSN]"
